logical_region,opt_time_us_median,opt_own_share_percent_median,triton_time_us_median,triton_own_share_percent_median
Routing / scheduler,75.40218181818182,5.650914148923645,40.384,1.8726857487334656
Q0 / input pack,94.03810909090909,7.057988791880126,49.056,2.2778328270553936
FC1 + SwiGLU,451.76349090909093,33.96462642151364,1130.877,52.451139997161484
Q1,33.85861818181818,2.542511484715107,57.919999999999995,2.6858646633974423
FC2 + epilogue + R2S,248.18443636363637,18.62986168577846,650.142,30.1483671269085
Output aggregation,371.9642181818182,27.911976286488642,225.696,10.459765107607263
Residual / skew,56.645818181818186,4.251361300210909,2.336,0.10832492841326702
