arm,duration_ns,local_load_footprint_bytes,local_store_footprint_bytes,dynamic_spill_refill_instructions,dynamic_spill_store_instructions,dynamic_spill_refill_bytes,dynamic_spill_store_bytes,executed_warp_instructions,tensor_instructions,fp4_tensor_ops,achieved_occupancy_pct,eligible_warps_per_cycle,issue_active_pct,tc_subpipe_active_pct,ipc_active,alu_active_pct,fma_active_pct,lsu_active_pct,uniform_active_pct,warp_latency_per_issued_instruction,stall_wait_ratio,stall_long_scoreboard_ratio,stall_short_scoreboard_ratio,stall_barrier_ratio,stall_not_selected_ratio,stall_math_pipe_throttle_ratio,stall_mio_throttle_ratio,stall_lg_throttle_ratio,registers_per_thread,allocated_registers_per_thread,shared_mem_per_block_bytes,dynamic_shared_mem_per_block_bytes,configured_stack_limit_bytes,waves_per_sm,register_occupancy_limit_blocks,shared_mem_occupancy_limit_blocks,local_total_footprint_bytes,dynamic_spill_total_bytes,stall_wait_pct,stall_long_scoreboard_pct,stall_short_scoreboard_pct,stall_barrier_pct,stall_not_selected_pct,stall_math_pipe_throttle_pct,stall_mio_throttle_pct,stall_lg_throttle_pct
baseline_4warp,1891360.0,158408704.0,158409216.0,1237568.0,689792.0,1237568.0,689792.0,386620900.0,31162368.0,510564237312.0,10.42,0.2,19.97,25.74,0.8,8.32,5.24,22.07,0.15,6.26,1.83,1.18,0.61,0.35,0.01,0.01,0.14,0.03,255.0,256.0,92160.0,91136.0,1024.0,1.0,1.0,1.0,316817920.0,1927360.0,29.233226837060705,18.849840255591054,9.744408945686901,5.5910543130990416,0.1597444089456869,0.1597444089456869,2.236421725239617,0.4792332268370607
candidate_8warp_serial_v0,1721216.0,145424384.0,145433344.0,1136128.0,568064.0,1136128.0,568064.0,406172484.0,31162368.0,510564237312.0,18.74,0.27,23.14,28.35,0.92,9.63,5.81,28.03,0.18,9.73,1.79,1.51,0.54,1.98,0.17,0.98,0.32,0.09,168.0,168.0,93184.0,92160.0,1024.0,1.0,1.0,1.0,290857728.0,1704192.0,18.396711202466598,15.51901336073998,5.549845837615622,20.349434737923946,1.7471736896197327,10.071942446043165,3.28879753340185,0.9249743062692702
