timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:02:31.834, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.58 W, 350.00 W, 30, 0 %, 141 MiB
2026/07/22 19:02:31.863, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.58 W, 350.00 W, 30, 0 %, 159 MiB
2026/07/22 19:02:31.883, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.58 W, 350.00 W, 30, 0 %, 1489 MiB
2026/07/22 19:02:31.904, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.58 W, 350.00 W, 30, 0 %, 1489 MiB
2026/07/22 19:02:31.925, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.58 W, 350.00 W, 30, 0 %, 1489 MiB
2026/07/22 19:02:31.946, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.58 W, 350.00 W, 30, 0 %, 1489 MiB
2026/07/22 19:02:31.967, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.58 W, 350.00 W, 30, 0 %, 1489 MiB
2026/07/22 19:02:31.988, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.58 W, 350.00 W, 30, 0 %, 463 MiB
2026/07/22 19:02:32.009, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.58 W, 350.00 W, 30, 0 %, 463 MiB
2026/07/22 19:02:32.030, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.58 W, 350.00 W, 30, 0 %, 124 MiB
