timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:02:32.247, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2430 MHz, 13365 MHz, 80.18 W, 350.00 W, 30, 0 %, 140 MiB
2026/07/22 19:02:32.282, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2430 MHz, 13365 MHz, 80.18 W, 350.00 W, 30, 0 %, 149 MiB
2026/07/22 19:02:32.302, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2430 MHz, 13365 MHz, 80.18 W, 350.00 W, 30, 0 %, 1489 MiB
2026/07/22 19:02:32.323, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2430 MHz, 13365 MHz, 80.18 W, 350.00 W, 30, 0 %, 1489 MiB
2026/07/22 19:02:32.344, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2430 MHz, 13365 MHz, 80.18 W, 350.00 W, 30, 0 %, 1489 MiB
2026/07/22 19:02:32.365, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2430 MHz, 13365 MHz, 80.18 W, 350.00 W, 30, 0 %, 1489 MiB
2026/07/22 19:02:32.386, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2430 MHz, 13365 MHz, 80.18 W, 350.00 W, 30, 0 %, 1489 MiB
2026/07/22 19:02:32.407, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2430 MHz, 13365 MHz, 80.18 W, 350.00 W, 30, 0 %, 1489 MiB
2026/07/22 19:02:32.428, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2430 MHz, 13365 MHz, 80.18 W, 350.00 W, 30, 0 %, 463 MiB
2026/07/22 19:02:32.449, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2430 MHz, 13365 MHz, 80.18 W, 350.00 W, 30, 0 %, 124 MiB
