arm,duration_ns,local_load_sectors,local_store_sectors,executed_local_load_instructions,executed_local_store_instructions,tensor_instructions,fp4_tensor_ops,achieved_occupancy_pct,eligible_warps_per_cycle,issue_active_pct,tc_subpipe_active_pct,stall_long_scoreboard_pct,stall_short_scoreboard_pct,stall_wait_pct,stall_barrier_pct,registers_per_thread,shared_bytes_per_cta,configured_stack_limit_bytes,local_load_footprint_bytes,local_store_footprint_bytes
baseline,1891264.0,4950272.0,4950272.0,1237568.0,689792.0,31162368.0,510564237312.0,10.42,0.2,19.99,25.74,18.91,9.77,29.26,5.67,255.0,92160.0,1024.0,158408704.0,158408704.0
up_first_attribution,1878112.0,4382208.0,4382208.0,1095552.0,547776.0,31162368.0,510564237312.0,10.42,0.2,20.12,25.91,19.01,9.43,29.1,5.75,255.0,92160.0,1024.0,140230656.0,140230656.0
