layer,n,k,num_expert,m_pe,m_pe_padded,total_rows,backend,gran_k,t_us
fc1,4096,7168,8,1,1,8,cute_sm120,32,215.04
fc1,4096,7168,8,1,16,8,cudnn,32,268.288
fc1,4096,7168,8,1,128,8,dg,32,321.536
fc1,4096,7168,8,1,1,8,cutlass,32,605.184
fc1,4096,7168,8,1,1,8,cute_sm120,128,210.944
fc1,4096,7168,8,1,128,8,dg,128,290.816
fc1,4096,7168,8,1,1,8,cutlass,128,524.352
fc1,4096,7168,8,4,4,32,cute_sm120,32,217.088
fc1,4096,7168,8,4,16,32,cudnn,32,266.24
fc1,4096,7168,8,4,128,32,dg,32,321.536
fc1,4096,7168,8,4,4,32,cutlass,32,631.168
fc1,4096,7168,8,4,4,32,cute_sm120,128,212.992
fc1,4096,7168,8,4,128,32,dg,128,288.768
fc1,4096,7168,8,4,4,32,cutlass,128,532.16
fc1,4096,7168,8,8,8,64,cute_sm120,32,221.184
fc1,4096,7168,8,8,16,64,cudnn,32,266.24
fc1,4096,7168,8,8,128,64,dg,32,319.488
fc1,4096,7168,8,8,8,64,cutlass,32,634.88
fc1,4096,7168,8,8,8,64,cute_sm120,128,215.04
fc1,4096,7168,8,8,128,64,dg,128,290.816
fc1,4096,7168,8,8,8,64,cutlass,128,520.608
fc1,4096,7168,8,16,16,128,cute_sm120,32,223.232
fc1,4096,7168,8,16,16,128,cudnn,32,264.192
fc1,4096,7168,8,16,128,128,dg,32,323.584
fc1,4096,7168,8,16,16,128,cutlass,32,628.672
fc1,4096,7168,8,16,16,128,cute_sm120,128,219.136
fc1,4096,7168,8,16,128,128,dg,128,290.816
fc1,4096,7168,8,16,16,128,cutlass,128,525.536
fc1,4096,7168,8,192,192,1536,cute_sm120,32,344.064
fc1,4096,7168,8,192,192,1536,cudnn,32,348.16
fc1,4096,7168,8,192,256,1536,dg,32,385.024
fc1,4096,7168,8,192,192,1536,cutlass,32,828.96
fc1,4096,7168,8,192,192,1536,cute_sm120,128,337.92
fc1,4096,7168,8,192,256,1536,dg,128,339.968
fc1,4096,7168,8,192,192,1536,cutlass,128,650.24
fc1,4096,7168,8,256,256,2048,cute_sm120,32,348.16
fc1,4096,7168,8,256,256,2048,cudnn,32,354.304
fc1,4096,7168,8,256,256,2048,dg,32,387.072
fc1,4096,7168,8,256,256,2048,cutlass,32,799.648
fc1,4096,7168,8,256,256,2048,cute_sm120,128,342.016
fc1,4096,7168,8,256,256,2048,dg,128,342.016
fc1,4096,7168,8,256,256,2048,cutlass,128,635.424
fc1,4096,7168,8,1024,1024,8192,cute_sm120,32,1052.672
fc1,4096,7168,8,1024,1024,8192,cudnn,32,1046.528
fc1,4096,7168,8,1024,1024,8192,dg,32,1196.032
fc1,4096,7168,8,1024,1024,8192,cutlass,32,2127.264
fc1,4096,7168,8,1024,1024,8192,cute_sm120,128,1024.0
