E,m_pe,N,K,cute_us,cudnn_us,speedup
4,1,4096,7168,39.104,89.120,+56.12%
4,4,4096,7168,38.272,79.552,+51.89%
4,8,4096,7168,37.472,77.632,+51.73%
4,16,4096,7168,45.408,108.864,+58.29%
4,192,4096,7168,141.728,215.456,+34.22%
4,256,4096,7168,137.600,169.696,+18.91%
4,1024,4096,7168,383.392,388.576,+1.33%
8,1,4096,7168,166.304,205.856,+19.21%
8,4,4096,7168,167.840,208.032,+19.32%
8,8,4096,7168,168.128,202.048,+16.79%
8,16,4096,7168,172.384,207.616,+16.97%
8,192,4096,7168,221.504,334.400,+33.76%
8,256,4096,7168,223.424,329.824,+32.26%
8,1024,4096,7168,694.400,677.504,-2.49%
4,1,7168,4096,40.896,83.712,+51.15%
4,4,7168,4096,37.056,83.872,+55.82%
4,8,7168,4096,37.440,79.200,+52.73%
4,16,7168,4096,44.832,75.328,+40.48%
4,192,7168,4096,119.392,120.064,+0.56%
4,256,7168,4096,118.400,156.064,+24.13%
4,1024,7168,4096,354.400,385.216,+8.00%
8,1,7168,4096,162.784,198.656,+18.06%
8,4,7168,4096,163.936,261.920,+37.41%
8,8,7168,4096,164.256,260.192,+36.87%
8,16,7168,4096,167.040,264.192,+36.77%
8,192,7168,4096,209.056,298.912,+30.06%
8,256,7168,4096,215.456,298.016,+27.70%
8,1024,7168,4096,687.520,709.536,+3.10%
