Device: NVIDIA Graphics Device, 110 SMs, blocks_per_sm=8, grid=880 blocks × 32 threads
Config: num_kernels=32 testtimes=64000 gap_us=0 mode=nvfp4-e2m1-vs16
Mode: nvfp4-e2m1-vs16, FLOPs/block=4194304000, FLOPs/kernel=3690987520000
Kernel resources: registers/thread=52 static_smem=0B max_active_one_warp_blocks/SM=24
kernel_idx,dur_us,tflops
0,3257.376,1133.117
1,3236.672,1140.365
2,3221.728,1145.655
3,3220.928,1145.939
4,3221.568,1145.711
5,3220.416,1146.121
6,3220.128,1146.224
7,3221.120,1145.871
8,3220.096,1146.235
9,3219.072,1146.600
10,3222.176,1145.495
11,3225.216,1144.416
12,3224.192,1144.779
13,3223.200,1145.131
14,3223.168,1145.143
15,3224.192,1144.779
16,3223.168,1145.143
17,3224.192,1144.779
18,3223.168,1145.143
19,3224.224,1144.768
20,3225.216,1144.416
21,3226.272,1144.041
22,3225.216,1144.416
23,3222.144,1145.507
24,3225.216,1144.416
25,3228.320,1143.315
26,3229.344,1142.953
27,3229.344,1142.953
28,3228.320,1143.315
29,3229.312,1142.964
30,3228.320,1143.315
31,3229.312,1142.964
