timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:01:43.095, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 128 MiB
2026/07/22 19:01:43.121, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 140 MiB
2026/07/22 19:01:43.142, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 140 MiB
2026/07/22 19:01:43.163, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 145 MiB
2026/07/22 19:01:43.183, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.203, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.223, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.244, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.264, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.284, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.305, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.325, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.345, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.365, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.386, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.406, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.426, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.447, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.467, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.487, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.507, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.528, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.548, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.568, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.60 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.589, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.609, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.629, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.650, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.670, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.692, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.713, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.733, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.753, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.774, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.794, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.814, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.835, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.855, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.875, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.915, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.936, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.956, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.976, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:43.997, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.017, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.037, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.058, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.078, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.098, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.118, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.139, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.159, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.179, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.200, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.220, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.240, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.261, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.281, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.301, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.321, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.342, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.362, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.382, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.403, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.423, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.443, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.463, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.484, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.504, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.524, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.545, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.565, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.65 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.585, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.67 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.606, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.67 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.626, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.67 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:44.646, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.67 W, 350.00 W, 28, 0 %, 467 MiB
