timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:01:38.363, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.20 W, 350.00 W, 27, 0 %, 140 MiB
2026/07/22 19:01:38.389, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.20 W, 350.00 W, 27, 0 %, 140 MiB
2026/07/22 19:01:38.409, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.20 W, 350.00 W, 27, 0 %, 155 MiB
2026/07/22 19:01:38.430, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.20 W, 350.00 W, 27, 0 %, 467 MiB
2026/07/22 19:01:38.450, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.20 W, 350.00 W, 27, 0 %, 467 MiB
2026/07/22 19:01:38.471, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.20 W, 350.00 W, 27, 0 %, 467 MiB
2026/07/22 19:01:38.491, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.20 W, 350.00 W, 27, 0 %, 467 MiB
2026/07/22 19:01:38.511, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.20 W, 350.00 W, 27, 0 %, 467 MiB
2026/07/22 19:01:38.531, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.20 W, 350.00 W, 27, 0 %, 467 MiB
2026/07/22 19:01:38.552, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.20 W, 350.00 W, 27, 0 %, 467 MiB
2026/07/22 19:01:38.572, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.69 W, 350.00 W, 27, 0 %, 467 MiB
2026/07/22 19:01:38.592, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.69 W, 350.00 W, 27, 0 %, 467 MiB
2026/07/22 19:01:38.612, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.69 W, 350.00 W, 27, 0 %, 467 MiB
2026/07/22 19:01:38.632, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.69 W, 350.00 W, 27, 0 %, 467 MiB
2026/07/22 19:01:38.653, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.69 W, 350.00 W, 27, 0 %, 467 MiB
2026/07/22 19:01:38.673, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.69 W, 350.00 W, 27, 0 %, 467 MiB
