case,m,semantic_fixture,v0_source_sha256,v1_source_sha256,v0_cubin_sha256,v1_cubin_sha256,fixture_identity_sha256,weights_identity_sha256,reference_sha256,v0_self_drift_relative_l2,v1_self_drift_relative_l2,v1_vs_v0_worst_relative_l2,v1_vs_v0_worst_max_abs,v1_vs_v0_worst_cosine_loss,v1_vs_v0_worst_token_rel_l2_p99,preparation_gate,identity_gate,output_contract_gate,strict_cross_arm_gate,gate_pass
canonical_m256,256,deterministic_synthetic_random_logits,1953cbb7717cda4461a4f199d05f370a4bdb35b4b8ef7556443caf36b0b12ec2,f3c246817679d962a3f7160dbe8b9e68262c919e26e306f349200961fc4ac971,a9557634cf3d1bff59ca93739e75a1acd1187707222255fead78e2e6e8a73af9,4b835aa8ce91a4dd12b4dc4f43508c205c117aaeb193995fff57dd3ddbeb7725,09da85793a4f3dfaa1e86b2f9e227f2eeeaaca419658dafddb93bba62e743e88,f2238de8741a4795c39e1f4de5d320ec640ba685e21ba5094636da10402f0cd6,4685b1aad24f7c6d18656b108dbba4f3913f24e4061da1eb31712e340afe0aff,0.006930861156433821,0.006971471477299929,0.007056958042085171,0.015625,5.8770179748535156e-05,0.008093665353953838,True,True,True,True,True
canonical_m8192,8192,deterministic_synthetic_random_logits,1953cbb7717cda4461a4f199d05f370a4bdb35b4b8ef7556443caf36b0b12ec2,f3c246817679d962a3f7160dbe8b9e68262c919e26e306f349200961fc4ac971,a9557634cf3d1bff59ca93739e75a1acd1187707222255fead78e2e6e8a73af9,4b835aa8ce91a4dd12b4dc4f43508c205c117aaeb193995fff57dd3ddbeb7725,98e69617871620729b128e0a3860cc049067dd5806eb5dffb57db652db401399,f2238de8741a4795c39e1f4de5d320ec640ba685e21ba5094636da10402f0cd6,1149b125c53266c1df09e3ce0a6a0fd745bf46fdd6b6db9cc2b90c5f79d1b00e,0.0065925647504627705,0.006435872986912727,0.0066965785808861256,0.0234375,0.0,0.007727723103016615,True,True,True,True,True
sparse_empty,256,directed_sparse_empty,1953cbb7717cda4461a4f199d05f370a4bdb35b4b8ef7556443caf36b0b12ec2,f3c246817679d962a3f7160dbe8b9e68262c919e26e306f349200961fc4ac971,a9557634cf3d1bff59ca93739e75a1acd1187707222255fead78e2e6e8a73af9,4b835aa8ce91a4dd12b4dc4f43508c205c117aaeb193995fff57dd3ddbeb7725,f14aae45d6237c162fc8bb79b6d5668b6f61fe5718c67eff35dd8d4008dd6c1b,f2238de8741a4795c39e1f4de5d320ec640ba685e21ba5094636da10402f0cd6,e426c6ba07952c27b2c029da266e18688683ef0869062d94f7a4bfad668d932a,0.00917937234044075,0.008907563053071499,0.009063312783837318,0.01953125,7.081031799316406e-05,0.009935681708157063,True,True,True,True,True
exact_128,256,directed_exact_128,1953cbb7717cda4461a4f199d05f370a4bdb35b4b8ef7556443caf36b0b12ec2,f3c246817679d962a3f7160dbe8b9e68262c919e26e306f349200961fc4ac971,a9557634cf3d1bff59ca93739e75a1acd1187707222255fead78e2e6e8a73af9,4b835aa8ce91a4dd12b4dc4f43508c205c117aaeb193995fff57dd3ddbeb7725,2c24d0a18ded2d68053018416259a8ee5d8c487919872b7f7b5e27057339ec4a,f2238de8741a4795c39e1f4de5d320ec640ba685e21ba5094636da10402f0cd6,5d401897c3a1b5cdaafeceae28eaa14345187c6bbed0a3f3477822a66631e596,0.007462994661182165,0.0075096855871379375,0.007608190178871155,0.015625,5.9604644775390625e-05,0.009422884322702885,True,True,True,True,True
tail_129,256,directed_tail_129,1953cbb7717cda4461a4f199d05f370a4bdb35b4b8ef7556443caf36b0b12ec2,f3c246817679d962a3f7160dbe8b9e68262c919e26e306f349200961fc4ac971,a9557634cf3d1bff59ca93739e75a1acd1187707222255fead78e2e6e8a73af9,4b835aa8ce91a4dd12b4dc4f43508c205c117aaeb193995fff57dd3ddbeb7725,0644295133d28b1e261b802b7f3cca70db5ae3fcdf2757509b99017ad144543d,f2238de8741a4795c39e1f4de5d320ec640ba685e21ba5094636da10402f0cd6,fce641459513053ad561b74f7e3bdf394ad916d80c9bf67982bbb047024f6d23,0.007484883069992065,0.007463711313903332,0.007588183972984552,0.017578125,6.031990051269531e-05,0.009447621181607246,True,True,True,True,True
hot_expert,256,directed_hot_expert,1953cbb7717cda4461a4f199d05f370a4bdb35b4b8ef7556443caf36b0b12ec2,f3c246817679d962a3f7160dbe8b9e68262c919e26e306f349200961fc4ac971,a9557634cf3d1bff59ca93739e75a1acd1187707222255fead78e2e6e8a73af9,4b835aa8ce91a4dd12b4dc4f43508c205c117aaeb193995fff57dd3ddbeb7725,d1f81698723ee1b805c49170acbd8410b29b35436a2685fcee13691e2d47b1f4,f2238de8741a4795c39e1f4de5d320ec640ba685e21ba5094636da10402f0cd6,d4f68f811c3400ef1dd4f3044d684d6872a4433a9a0180e5240faca05ed357bf,0.007354892790317535,0.007415394298732281,0.007533352822065353,0.015625,5.894899368286133e-05,0.009265290573239326,True,True,True,True,True
canary_up_v2,256,branch_half_slice_canary_up,1953cbb7717cda4461a4f199d05f370a4bdb35b4b8ef7556443caf36b0b12ec2,f3c246817679d962a3f7160dbe8b9e68262c919e26e306f349200961fc4ac971,a9557634cf3d1bff59ca93739e75a1acd1187707222255fead78e2e6e8a73af9,4b835aa8ce91a4dd12b4dc4f43508c205c117aaeb193995fff57dd3ddbeb7725,514613962136c3b182c15e2e7dde72a666d7def908b40c0b128ed3c9f5ebe0bc,e22f9734c9c183fe07d9e9003db4b1b3a0eb3109f1221551010c0f2e1945eca4,919562527e3ebec0c5523d289534e4d4bb2a272539bde4f6be0914a1694c9d1c,0.000921353290323168,0.0011144536547362804,0.0010715952375903726,0.0625,0.0,0.005721816793084145,True,True,True,True,True
canary_gate_v2,256,branch_half_slice_canary_gate,1953cbb7717cda4461a4f199d05f370a4bdb35b4b8ef7556443caf36b0b12ec2,f3c246817679d962a3f7160dbe8b9e68262c919e26e306f349200961fc4ac971,a9557634cf3d1bff59ca93739e75a1acd1187707222255fead78e2e6e8a73af9,4b835aa8ce91a4dd12b4dc4f43508c205c117aaeb193995fff57dd3ddbeb7725,e8bb226adab7a8e826aa00ed4b49e25f2d90c434bd053c3d21a08e8d187ed161,8386962b3619486cd726b46f7cf13a1ada2f030f82e618863199a1acd1aa1e81,e8af12ffbadcf9a3709b37a074a118392b1b77d1653dfeb99cc7f22170db89cf,0.0010671227937564254,0.0009439564310014248,0.0011604459723457694,0.0625,0.0,0.0058232820592820644,True,True,True,True,True
