Device: NVIDIA Graphics Device, 110 SMs, blocks_per_sm=16, grid=1760 blocks × 32 threads
Config: num_kernels=8 testtimes=16000 gap_us=0 mode=fp8-e4m3-noscale
Mode: fp8-e4m3-noscale, FLOPs/block=524288000, FLOPs/kernel=922746880000
Kernel resources: registers/thread=44 static_smem=0B max_active_one_warp_blocks/SM=24
kernel_idx,dur_us,tflops
0,1634.464,564.556
1,1618.784,570.025
2,1614.464,571.550
3,1612.448,572.265
4,1611.392,572.640
5,1612.448,572.265
6,1610.368,573.004
7,1612.416,572.276
