Device: NVIDIA Graphics Device, 110 SMs, blocks_per_sm=12, grid=1320 blocks × 32 threads
Config: num_kernels=8 testtimes=16000 gap_us=0 mode=fp8-e4m3-vs32
Mode: fp8-e4m3-vs32, FLOPs/block=524288000, FLOPs/kernel=692060160000
Kernel resources: registers/thread=52 static_smem=0B max_active_one_warp_blocks/SM=24
kernel_idx,dur_us,tflops
0,1249.568,553.840
1,1213.216,570.434
2,1212.032,570.992
3,1211.008,571.474
4,1209.984,571.958
5,1208.960,572.443
6,1208.960,572.443
7,1207.936,572.928
