Device: NVIDIA Graphics Device, 110 SMs, blocks_per_sm=4, grid=440 blocks × 32 threads
Config: num_kernels=8 testtimes=16000 gap_us=0 mode=fp8-e4m3-noscale
Mode: fp8-e4m3-noscale, FLOPs/block=524288000, FLOPs/kernel=230686720000
Kernel resources: registers/thread=44 static_smem=0B max_active_one_warp_blocks/SM=24
kernel_idx,dur_us,tflops
0,433.472,532.184
1,408.416,564.833
2,407.168,566.564
3,407.200,566.519
4,407.200,566.519
5,407.168,566.564
6,407.200,566.519
7,407.168,566.564
