Device: NVIDIA Graphics Device, 110 SMs, blocks_per_sm=8, grid=880 blocks × 32 threads
Config: num_kernels=8 testtimes=16000 gap_us=0 mode=fp8-e4m3-vs32
Mode: fp8-e4m3-vs32, FLOPs/block=524288000, FLOPs/kernel=461373440000
Kernel resources: registers/thread=52 static_smem=0B max_active_one_warp_blocks/SM=24
kernel_idx,dur_us,tflops
0,838.944,549.945
1,809.760,569.766
2,809.600,569.878
3,810.624,569.158
4,808.576,570.600
5,807.552,571.324
6,806.528,572.049
7,807.552,571.324
