Device: NVIDIA Graphics Device, 110 SMs, blocks_per_sm=4, grid=440 blocks × 32 threads
Config: num_kernels=8 testtimes=16000 gap_us=0 mode=fp8-e4m3-vs32
Mode: fp8-e4m3-vs32, FLOPs/block=524288000, FLOPs/kernel=230686720000
Kernel resources: registers/thread=52 static_smem=0B max_active_one_warp_blocks/SM=24
kernel_idx,dur_us,tflops
0,422.912,545.472
1,408.320,564.966
2,407.168,566.564
3,409.216,563.729
4,407.168,566.564
5,408.192,565.143
6,407.200,566.519
7,405.120,569.428
