backend,m,hidden,intermediate_tp,experts,topk,timing,flush_l2,l2_flush_bytes,warmup,iters,repeats,median_us,tflops,samples_ms,error,gpu_uuid,functional_sanity,fixture_sha256,occupancy_sha256,occupancy_min,occupancy_max,backend_detail,quant_mode,storage,implementation,input_dtype,output_dtype,vllm_version,triton_version,alternate_backends_allowed,triton_config,triton_config_source
triton_fp8,256,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,847.2230410575867,15.20839408701138,0.846111;0.847223;0.846523;0.848494;0.847249,,GPU-1c189c11-e797-a795-cefd-495b190afebc,shape_dtype_finite_nonzero,ffa77c64d1f2be0c2a4f7c28349038cbb701aa5270aa64bd4e81571ad1c7f4ed,60b4becc63e932fe7b11210c9ef78c1a4b58a38798024f55854808e35d6a4920,2,15,vllm.fused_experts,fp8_w8a8_tensor_scaled,float8_e4m3fn_per_expert_tensor_scale,triton_fused_moe,bfloat16,bfloat16,0.11.1rc1,3.4.0,false,"{""BLOCK_SIZE_K"": 64, ""BLOCK_SIZE_M"": 16, ""BLOCK_SIZE_N"": 32, ""GROUP_SIZE_M"": 1}",default_heuristic
triton_fp8,512,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,1650.8326315879822,15.610185601438774,1.651100;1.650861;1.650736;1.650833;1.650340,,GPU-1c189c11-e797-a795-cefd-495b190afebc,shape_dtype_finite_nonzero,c2c50b4074dcb0322de8fb5ad3f47b559b5753177a3b48945f1b480e2240959f,1743ac1105dd3d277607a09eda29d22e0d81293524e72589faf14eaaa6e4a6ed,7,32,vllm.fused_experts,fp8_w8a8_tensor_scaled,float8_e4m3fn_per_expert_tensor_scale,triton_fused_moe,bfloat16,bfloat16,0.11.1rc1,3.4.0,false,"{""BLOCK_SIZE_K"": 32, ""BLOCK_SIZE_M"": 64, ""BLOCK_SIZE_N"": 64, ""GROUP_SIZE_M"": 8}",default_heuristic
triton_fp8,1024,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,1750.08704662323,29.44973945807153,1.750586;1.750087;1.749492;1.749995;1.750278,,GPU-1c189c11-e797-a795-cefd-495b190afebc,shape_dtype_finite_nonzero,654a9a2899a9490c0a8735ac11b4338d9988df97da9f3480d12d57d2e974fe92,e03917667a2d3629721f3c6a2b13dea8aac9c8593280282013395eb9a5f2e5bd,14,50,vllm.fused_experts,fp8_w8a8_tensor_scaled,float8_e4m3fn_per_expert_tensor_scale,triton_fused_moe,bfloat16,bfloat16,0.11.1rc1,3.4.0,false,"{""BLOCK_SIZE_K"": 32, ""BLOCK_SIZE_M"": 64, ""BLOCK_SIZE_N"": 64, ""GROUP_SIZE_M"": 8}",default_heuristic
triton_fp8,2048,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,1888.3462357521057,54.58703131470209,1.888730;1.888346;1.888331;1.888317;1.888873,,GPU-1c189c11-e797-a795-cefd-495b190afebc,shape_dtype_finite_nonzero,30fa614e2ba03af302d7961ff2859bad38d5a4248cfa178aacee8627247899c9,ef23f3672ac6f6dc3a6abbc1ad2fda9b4219cb091698affd6997a70e8b93a244,44,89,vllm.fused_experts,fp8_w8a8_tensor_scaled,float8_e4m3fn_per_expert_tensor_scale,triton_fused_moe,bfloat16,bfloat16,0.11.1rc1,3.4.0,false,"{""BLOCK_SIZE_K"": 32, ""BLOCK_SIZE_M"": 64, ""BLOCK_SIZE_N"": 64, ""GROUP_SIZE_M"": 8}",default_heuristic
triton_fp8,4096,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,2154.0851163864136,95.70579576439447,2.142430;2.148642;2.154085;2.158349;2.160444,,GPU-1c189c11-e797-a795-cefd-495b190afebc,shape_dtype_finite_nonzero,76868ab64043b7463259e88bed0fdd7b022bf52611c38740af7d1096e9e5fcbd,0b57ad7fd66d1405ea04eb3135a5615e45664eb1ea61d9b61e7cb7de333be5df,92,166,vllm.fused_experts,fp8_w8a8_tensor_scaled,float8_e4m3fn_per_expert_tensor_scale,triton_fused_moe,bfloat16,bfloat16,0.11.1rc1,3.4.0,false,"{""BLOCK_SIZE_K"": 32, ""BLOCK_SIZE_M"": 64, ""BLOCK_SIZE_N"": 64, ""GROUP_SIZE_M"": 8}",default_heuristic
triton_fp8,8192,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,3297.283191680908,125.04745162814076,3.144883;3.269565;3.297283;3.305443;3.303378,,GPU-1c189c11-e797-a795-cefd-495b190afebc,shape_dtype_finite_nonzero,3a72a2e10a400aea9c10a7d7549be435e5add2933fb96603148faa4ff8a6d4c9,3e4350788bfcdd1cca175141f0c6626934589b97cb23d74811e4bc2785531a94,205,295,vllm.fused_experts,fp8_w8a8_tensor_scaled,float8_e4m3fn_per_expert_tensor_scale,triton_fused_moe,bfloat16,bfloat16,0.11.1rc1,3.4.0,false,"{""BLOCK_SIZE_K"": 32, ""BLOCK_SIZE_M"": 64, ""BLOCK_SIZE_N"": 64, ""GROUP_SIZE_M"": 8}",default_heuristic
