m,cutedsl_source_arm,cutedsl_us,cutlass_us,speedup_vs_cutlass_percent,triton_fp8_us,speedup_vs_triton_percent,triton_target_gap_pp,triton_target_met
256,cutlass_arm,529.3567991256714,552.3686373233795,4.347131884527844,847.2230410575867,60.04763563194597,-39.95236436805403,False
512,cutlass_arm,551.0438394546509,570.517760515213,3.534005766190007,1650.8326315879822,199.5828123623983,99.5828123623983,True
1024,cutlass_arm,604.4659221172333,603.0393552780151,-0.2360045102660857,1750.08704662323,189.52617221055004,89.52617221055004,True
2048,cutlass_arm,732.928638458252,721.8470418453217,-1.5119611966918023,1888.3462357521057,157.64394194287812,57.643941942878115,True
4096,cutlass_arm,1001.4412856101991,1006.8633580207825,0.5414268902724118,2154.0851163864136,115.09849327550788,15.098493275507877,True
8192,cutlass_arm,1738.949761390686,1678.0019164085388,-3.5048651971064104,3297.283191680908,89.61348193544016,-10.386518064559837,False
