backend,m,hidden,intermediate_tp,experts,topk,timing,flush_l2,l2_flush_bytes,warmup,iters,repeats,median_us,tflops,samples_ms,error,backend_detail,quant_mode,storage,implementation,input_dtype
cutlass,4,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,101.25888004899025,1.988236408526302,0.101256;0.101357;0.101259;0.101232;0.101277,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,8,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,156.1113604903221,2.5792689445234953,0.156216;0.156163;0.156093;0.155978;0.156111,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,16,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,247.4847999215126,3.2539629434025645,0.247304;0.247153;0.247993;0.247485;0.247519,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,32,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,343.3062410354614,4.691475258772338,0.344008;0.342820;0.343404;0.342956;0.343306,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,64,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,450.2099174261093,7.154941167036116,0.451761;0.449762;0.449224;0.450210;0.450558,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,128,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,540.1049602031708,11.928146228422989,0.539791;0.540105;0.539427;0.540424;0.540605,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,256,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,552.3686373233795,23.32663554259081,0.551820;0.552369;0.552136;0.553122;0.553139,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,512,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,570.517760515213,45.1691525829595,0.570773;0.570518;0.569098;0.569842;0.570989,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,1024,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,603.0393552780151,85.46640795647416,0.602185;0.603079;0.603039;0.603088;0.602264,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,2048,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,721.8470418453217,142.79924849520674,0.722830;0.721847;0.723083;0.721204;0.720582,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,4096,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,1006.8633580207825,204.75313612886956,1.007148;1.006241;1.006312;1.006863;1.006913,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,8192,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,1678.0019164085388,245.71894488564712,1.664785;1.672438;1.678002;1.681715;1.683992,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
