backend,m,hidden,intermediate_tp,experts,topk,timing,flush_l2,l2_flush_bytes,warmup,iters,repeats,median_us,tflops,samples_ms,error,backend_detail,quant_mode,storage,implementation,input_dtype
cutlass,4,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,101.1430399119854,1.9905135556059443,0.101207;0.101039;0.101372;0.101143;0.101062,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,8,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,156.22976064682007,2.577314221905874,0.156122;0.156291;0.156281;0.155938;0.156230,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,16,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,247.6742398738861,3.2514740669439663,0.247827;0.247325;0.247233;0.247886;0.247674,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,32,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,343.6211198568344,4.687176203462238,0.343664;0.343183;0.343442;0.343870;0.343621,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,64,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,449.9295973777771,7.159398916571703,0.449859;0.449759;0.450559;0.449930;0.450122,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,128,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,539.5839989185333,11.939662697397157,0.538830;0.539704;0.539584;0.540099;0.539272,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,256,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,551.6710364818573,23.356132615136378,0.552640;0.551671;0.551190;0.551889;0.551659,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,512,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,570.5715215206146,45.16489660633884,0.570557;0.569097;0.570969;0.570572;0.571062,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,1024,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,602.5798392295837,85.53158303121279,0.602742;0.602566;0.602129;0.602580;0.603484,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,2048,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,721.5948784351349,142.84915010419647,0.722035;0.721595;0.721386;0.721914;0.721502,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,4096,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,1006.4351963996887,204.84024301364718,1.006435;1.005724;1.007609;1.006014;1.007321,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
cutlass,8192,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,1676.405119895935,245.9529952053565,1.663939;1.670762;1.676405;1.680476;1.682668,,flashinfer.fused_moe.cutlass_fused_moe,nvfp4,cutlass_nvfp4_quantized_input,cutlass_fused_moe,uint8
