timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:02:21.114, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 140 MiB
2026/07/22 19:02:21.140, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 140 MiB
2026/07/22 19:02:21.161, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 141 MiB
2026/07/22 19:02:21.181, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 155 MiB
2026/07/22 19:02:21.202, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.222, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.243, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.264, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.284, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.305, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.325, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.345, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.366, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.386, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.406, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.427, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.447, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.468, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.488, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.508, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.528, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.563, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.583, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.76 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.603, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 61.04 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.624, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 61.04 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.644, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 61.04 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.664, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 61.04 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:21.684, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 61.04 W, 350.00 W, 29, 0 %, 467 MiB
