gpu_uuid, pid, process_name, used_gpu_memory [MiB]
GPU-69d1fff1-d9f5-e15d-4d2c-058a4010f106, 1019875, sglang::scheduler_PP0, 53160 MiB
GPU-9db4ee11-aeaf-55c1-c752-966a0a70b707, 1020116, sglang::scheduler_PP1, 52856 MiB
