E,m_pe,N,K,cute_us,cutlass_us,speedup
4,4,4096,7168,38.656,124.416,+68.93%
4,8,4096,7168,37.184,101.856,+63.49%
4,16,4096,7168,44.800,105.280,+57.45%
4,192,4096,7168,143.008,165.632,+13.66%
4,256,4096,7168,136.576,150.656,+9.35%
4,1024,4096,7168,385.312,386.848,+0.40%
8,4,4096,7168,166.816,206.880,+19.37%
8,8,4096,7168,167.936,202.368,+17.01%
8,16,4096,7168,172.320,208.288,+17.27%
8,192,4096,7168,221.376,239.680,+7.64%
8,256,4096,7168,224.736,243.648,+7.76%
8,1024,4096,7168,694.176,696.832,+0.38%
4,4,7168,4096,37.248,108.960,+65.81%
4,8,7168,4096,36.704,106.976,+65.69%
4,16,7168,4096,42.944,107.392,+60.01%
4,192,7168,4096,119.136,143.680,+17.08%
4,256,7168,4096,116.960,136.096,+14.06%
4,1024,7168,4096,353.984,374.176,+5.40%
8,4,7168,4096,163.872,195.648,+16.24%
8,8,7168,4096,164.128,195.264,+15.95%
8,16,7168,4096,166.656,203.392,+18.06%
8,192,7168,4096,210.112,226.048,+7.05%
8,256,7168,4096,214.816,227.072,+5.40%
8,1024,7168,4096,689.920,713.568,+3.31%
